Model,Accuracy,Precision,Recall,F1
Random_Forest,0.7605300520586843,0.5324675324675324,0.803921568627451,0.640625
Tuned_Decision_Tree,0.7401798390913393,0.5068493150684932,0.7914438502673797,0.6179540709812108
Logistic_Regression,0.7392333175579744,0.5057077625570776,0.7896613190730838,0.616562282533055
